abseil 20260107.1
acpica 20251212
aom 3.13.1
brotli 1.2.0
ca-certificates 2026-05-14 2026-03-19
cairo 1.18.4
certifi 2026.4.22
cocoapods 1.16.2_2
dav1d 1.5.3
eigen 5.0.1
ffmpeg 8.1.1 8.0.1_1
fontconfig 2.17.1
freetype 2.14.3
gcc 15.2.0_1
gettext 1.0
giflib 6.1.3
glib 2.88.0 2.86.3
gmp 6.3.0
graphite2 1.3.14
harfbuzz 14.2.0
highway 1.3.0
icu4c@78 78.3
imagemagick 7.1.2-13
imath 3.2.2
isl 0.27
jpeg-turbo 3.1.4.1
jpeg-xl 0.11.1_3
krb5 1.22.2
lame 3.100
libde265 1.0.16
libdeflate 1.25
libheif 1.21.2
liblinear 2.50
libmpc 1.4.1
libomp 22.1.5
libpng 1.6.58
libssh2 1.11.1_1
libtiff 4.7.1_1
libtool 2.5.4
libunistring 1.4.2
libuv 1.51.0 1.52.1
libvmaf 3.0.0 3.1.0
libvpx 1.16.0 1.15.2
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxrender 0.9.12
libyaml 0.2.5
little-cms2 2.18
llvm@20 20.1.8
lpeg 1.1.0
lsd 1.2.0
lua 5.5.0
luajit 2.1.1764270282
luv 1.51.0-1
lz4 1.10.0
lzo 2.10
m4 1.4.20
mpdecimal 4.0.1
mpfr 4.2.2
neofetch 7.1.0
neovim 0.11.5
nmap 7.99
numpy 2.4.5
onnx 1.21.0
openai-whisper 20250625_5
openblas 0.3.33
openexr 3.4.4_1
openjdk@17 17.0.19
openjph 0.26.0
openssl@3 3.6.2
opus 1.6.1
pcre2 10.47_1
pixman 0.46.4
postgresql@16 16.13
protobuf 34.1
python@3.11 3.11.15
python@3.14 3.14.4 3.14.5
pytorch 2.12.0
readline 8.3.3
ruby 4.0.1
screenresolution 1.6
sdl2 2.32.10
shared-mime-info 2.4_1
sleef 3.9.0
sqlite 3.53.0 3.53.1
sshpass 1.10
starship 1.25.1
svt-av1 4.0.0 4.1.0
tree 2.2.1
tree-sitter 0.25.10
unibilium 2.1.2
utf8proc 2.11.2
webp 1.6.0
x264 r3222
x265 4.2 4.1
xcodegen 2.45.4
xorgproto 2025.1
xz 5.8.3
zsh-syntax-highlighting 0.8.0
zstd 1.5.7_1
alacritty 0.17.0
android-commandlinetools 14742923
font-jetbrains-mono-nerd-font 3.4.0
iterm2 3.6.11
macdown 0.7.2
